code,tradeStatus,code_name,date,codenumber
sh.600019,1,宝钢股份,2023-09-21,600019
sh.600020,1,中原高速,2023-09-21,600020
sh.600021,1,上海电力,2023-09-21,600021
sh.600022,1,山东钢铁,2023-09-21,600022
sh.600023,1,浙能电力,2023-09-21,600023
sh.600025,1,华能水电,2023-09-21,600025
sh.600026,1,中远海能,2023-09-21,600026
sh.600027,1,华电国际,2023-09-21,600027
sh.600028,1,中国石化,2023-09-21,600028
sh.600029,1,南方航空,2023-09-21,600029
sh.600030,1,中信证券,2023-09-21,600030
sh.600031,1,三一重工,2023-09-21,600031
sh.600032,1,浙江新能,2023-09-21,600032
sh.600033,1,福建高速,2023-09-21,600033
sh.600035,1,楚天高速,2023-09-21,600035
sh.600036,1,招商银行,2023-09-21,600036
sh.600037,1,歌华有线,2023-09-21,600037
sh.600038,1,中直股份,2023-09-21,600038
sh.600039,1,四川路桥,2023-09-21,600039
sh.600048,1,保利发展,2023-09-21,600048
sh.600050,1,中国联通,2023-09-21,600050
sh.600051,1,宁波联合,2023-09-21,600051
sh.600052,1,东望时代,2023-09-21,600052
sh.600053,1,九鼎投资,2023-09-21,600053
sh.600054,1,黄山旅游,2023-09-21,600054
sh.600055,1,万东医疗,2023-09-21,600055
sh.600056,1,中国医药,2023-09-21,600056
sh.600057,1,厦门象屿,2023-09-21,600057
sh.600058,1,五矿发展,2023-09-21,600058
sh.600059,1,古越龙山,2023-09-21,600059
sh.600060,1,海信视像,2023-09-21,600060
sh.600061,1,国投资本,2023-09-21,600061
sh.600062,1,华润双鹤,2023-09-21,600062
sh.600063,1,皖维高新,2023-09-21,600063
sh.600064,1,南京高科,2023-09-21,600064
sh.600066,1,宇通客车,2023-09-21,600066
sh.600067,1,冠城大通,2023-09-21,600067
sh.600070,1,浙江富润,2023-09-21,600070
sh.600071,1,凤凰光学,2023-09-21,600071
sh.600072,1,中船科技,2023-09-21,600072
sh.600073,1,上海梅林,2023-09-21,600073
sh.600075,1,新疆天业,2023-09-21,600075
sh.600076,1,康欣新材,2023-09-21,600076
sh.600078,1,ST澄星,2023-09-21,600078
sh.600079,1,人福医药,2023-09-21,600079
sh.600080,1,金花股份,2023-09-21,600080
sh.600081,1,东风科技,2023-09-21,600081
sh.600082,1,海泰发展,2023-09-21,600082
sh.600083,1,博信股份,2023-09-21,600083
sh.600084,1,中葡股份,2023-09-21,600084
sh.600085,1,同仁堂,2023-09-21,600085
sh.600088,1,中视传媒,2023-09-21,600088
sh.600089,1,特变电工,2023-09-21,600089
sh.600094,1,大名城,2023-09-21,600094
sh.600095,1,湘财股份,2023-09-21,600095
sh.600096,1,云天化,2023-09-21,600096
sh.600097,1,开创国际,2023-09-21,600097
sh.600098,1,广州发展,2023-09-21,600098
sh.600099,1,林海股份,2023-09-21,600099
sh.600100,1,同方股份,2023-09-21,600100
sh.600101,1,明星电力,2023-09-21,600101
sh.600103,1,青山纸业,2023-09-21,600103
sh.600104,1,上汽集团,2023-09-21,600104
sh.600105,1,永鼎股份,2023-09-21,600105
sh.600106,1,重庆路桥,2023-09-21,600106
sh.600107,1,美尔雅,2023-09-21,600107
sh.600108,1,亚盛集团,2023-09-21,600108
sh.600109,1,国金证券,2023-09-21,600109
sh.600110,1,诺德股份,2023-09-21,600110
sh.600111,1,北方稀土,2023-09-21,600111
sh.600112,1,ST天成,2023-09-21,600112
sh.600113,1,浙江东日,2023-09-21,600113
sh.600114,1,东睦股份,2023-09-21,600114
sh.600115,1,中国东航,2023-09-21,600115
sh.600116,1,三峡水利,2023-09-21,600116
sh.600117,1,西宁特钢,2023-09-21,600117
sh.600118,1,中国卫星,2023-09-21,600118
sh.600119,1,长江投资,2023-09-21,600119
sh.600120,1,浙江东方,2023-09-21,600120
sh.600121,1,郑州煤电,2023-09-21,600121
sh.600123,1,兰花科创,2023-09-21,600123
sh.600125,1,铁龙物流,2023-09-21,600125
sh.600126,1,杭钢股份,2023-09-21,600126
sh.600127,1,金健米业,2023-09-21,600127
sh.600128,1,弘业股份,2023-09-21,600128
sh.600129,1,太极集团,2023-09-21,600129
sh.600130,1,波导股份,2023-09-21,600130
sh.600131,1,国网信通,2023-09-21,600131
sh.600132,1,重庆啤酒,2023-09-21,600132
sh.600133,1,东湖高新,2023-09-21,600133
sh.600135,1,乐凯胶片,2023-09-21,600135
sh.600136,1,ST明诚,2023-09-21,600136
sh.600137,1,浪莎股份,2023-09-21,600137
sh.600138,1,中青旅,2023-09-21,600138
sh.600141,1,兴发集团,2023-09-21,600141
sh.600143,1,金发科技,2023-09-21,600143
sh.600148,1,长春一东,2023-09-21,600148
sh.600149,1,廊坊发展,2023-09-21,600149
sh.600150,1,中国船舶,2023-09-21,600150
sh.600151,1,航天机电,2023-09-21,600151
sh.600152,1,维科技术,2023-09-21,600152
sh.600153,1,建发股份,2023-09-21,600153
sh.600155,1,华创阳安,2023-09-21,600155
sh.600156,1,华升股份,2023-09-21,600156
sh.600157,1,永泰能源,2023-09-21,600157
sh.600158,1,中体产业,2023-09-21,600158
sh.600159,1,大龙地产,2023-09-21,600159
sh.600160,1,巨化股份,2023-09-21,600160
sh.600161,1,天坛生物,2023-09-21,600161
